dt,visitor_count,is_weekend,month,weekofyear,dayofweek,quarter,temp_mean,temp_max,temp_min,precipitation,wiki_pageviews,trends_interest,traffic_proxy,traffic_proxy_ma7,traffic_proxy_lag7,traffic_proxy_ma14,traffic_proxy_lag14,visitor_count_lag1,visitor_count_lag7,visitor_count_lag14,visitor_count_lag30,visitor_count_ma7,visitor_count_ma30,temp_mean_ma7,precipitation_ma7
2023-01-31,5139.0,0,1,5,1,1,14.1,23.2,5.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5028.0,7658.125,4816.0,7658.125,6500.482142857143,5851.595833333334,11.842857142857143,0.0
2023-02-01,5231.0,0,2,5,2,1,14.9,23.0,7.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5139.0,7658.125,5539.0,7658.125,6153.75,5770.691666666667,12.357142857142858,0.0
2023-02-02,5195.0,0,2,5,3,1,13.7,18.7,8.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5231.0,7658.125,4831.0,4886.0,5801.875,5780.991666666667,12.442857142857141,0.0
2023-02-03,5130.0,0,2,5,4,1,12.4,19.9,5.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5195.0,7658.125,5220.0,4776.0,5440.714285714285,5792.791666666667,12.357142857142858,0.0
2023-02-04,6305.0,1,2,5,5,1,12.4,19.5,4.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5130.0,6249.0,5724.0,4526.0,5448.714285714285,5852.091666666666,12.542857142857143,0.0
2023-02-05,6103.0,1,2,5,6,1,11.9,18.4,5.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6305.0,6113.0,7658.125,5112.0,5447.285714285715,5885.125,13.028571428571428,0.0
2023-02-06,5183.0,0,2,6,0,1,11.8,18.8,4.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6103.0,5028.0,7658.125,5879.0,5469.428571428572,5861.925,13.028571428571428,0.0
2023-02-07,5139.0,0,2,6,1,1,11.9,18.6,5.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5183.0,5139.0,7658.125,6076.0,5469.428571428572,5830.691666666667,12.714285714285714,0.0
2023-02-08,4828.0,0,2,6,2,1,11.3,16.8,6.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5139.0,5231.0,7658.125,5109.0,5411.857142857143,5821.325,12.200000000000001,0.0
2023-02-09,4853.0,0,2,6,3,1,10.9,17.6,4.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4828.0,5195.0,7658.125,5031.0,5363.0,5815.391666666666,11.8,0.0
2023-02-10,5174.0,0,2,6,4,1,11.5,18.8,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4853.0,5130.0,7658.125,4925.0,5369.285714285715,5823.691666666667,11.671428571428573,0.0
2023-02-11,6229.0,1,2,6,5,1,12.0,19.1,5.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5174.0,6305.0,6249.0,5100.0,5358.428571428572,5861.325,11.614285714285716,0.0
2023-02-12,6361.0,1,2,6,6,1,12.3,19.4,5.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6229.0,6103.0,6113.0,5119.0,5395.285714285715,5902.725,11.671428571428573,0.0
2023-02-13,4656.0,0,2,7,0,1,12.5,19.7,5.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6361.0,5183.0,5028.0,6164.0,5320.0,5852.458333333333,11.771428571428572,0.0
2023-02-14,5243.0,0,2,7,1,1,12.9,21.0,4.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4656.0,5139.0,5139.0,5697.0,5334.857142857143,5837.325,11.914285714285715,0.0
2023-02-15,4663.0,0,2,7,2,1,13.5,20.9,6.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5243.0,4828.0,5231.0,4882.0,5311.285714285715,5830.025,12.228571428571428,0.0
2023-02-16,5121.0,0,2,7,3,1,13.2,20.8,5.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4663.0,4853.0,5195.0,4816.0,5349.571428571428,5840.191666666667,12.557142857142855,0.0
2023-02-17,4640.0,0,2,7,4,1,13.3,20.4,6.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5121.0,5174.0,5130.0,5539.0,5273.285714285715,5810.225,12.814285714285713,0.0
2023-02-18,6465.0,1,2,7,5,1,13.5,21.0,5.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4640.0,6229.0,6305.0,4831.0,5307.0,5864.691666666667,13.028571428571427,0.0
2023-02-19,6032.0,1,2,7,6,1,13.7,21.3,6.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6465.0,6361.0,6103.0,5220.0,5260.0,5891.758333333333,13.228571428571428,0.0
2023-02-20,5563.0,0,2,8,0,1,13.1,18.6,7.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6032.0,4656.0,5183.0,5724.0,5389.571428571428,5886.391666666666,13.314285714285715,0.0
2023-02-21,5187.0,0,2,8,1,1,13.5,19.2,6.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5563.0,5243.0,5139.0,7658.125,5381.571428571428,5804.020833333333,13.400000000000002,0.0
2023-02-22,5322.0,0,2,8,2,1,13.7,19.3,7.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5187.0,4663.0,4828.0,7658.125,5475.714285714285,5726.15,13.428571428571429,0.0
2023-02-23,5221.0,0,2,8,3,1,12.8,18.1,6.2,0.5,0,0,0.0,0.0,0.0,0.0,0.0,5322.0,5121.0,4853.0,7658.125,5490.0,5644.9125,13.371428571428572,0.07142857142857142
2023-02-24,5479.0,0,2,8,4,1,12.9,20.9,6.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5221.0,4640.0,5174.0,7658.125,5609.857142857143,5572.275,13.314285714285715,0.07142857142857142
2023-02-25,6155.0,1,2,8,5,1,12.7,20.2,5.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5479.0,6465.0,6229.0,7658.125,5565.571428571428,5522.170833333334,13.2,0.07142857142857142
