dt,temp_mean,temp_max,temp_min,precipitation,wiki_pageviews,trends_interest,visitor_count,outlier_flag_visitor_count,outlier_flag_wiki_pageviews,outlier_flag_trends_interest,outlier_flag_precipitation,year,month,dayofweek,is_weekend
2023-01-01,9.1,13.4,5.8,0.0,0,0,7658.125,1,0,0,0,2023,1,6,1
2023-01-02,8.6,14.2,3.1,0.0,0,0,7658.125,1,0,0,0,2023,1,0,0
2023-01-03,9.9,14.5,5.5,0.0,0,0,4886.0,0,0,0,0,2023,1,1,0
2023-01-04,10.1,16.5,4.4,0.0,0,0,4776.0,0,0,0,0,2023,1,2,0
2023-01-05,10.4,17.6,4.5,0.0,0,0,4526.0,0,0,0,0,2023,1,3,0
2023-01-06,9.2,13.3,5.6,0.3,0,0,5112.0,0,0,0,0,2023,1,4,0
2023-01-07,9.6,17.1,4.3,0.0,0,0,5879.0,0,0,0,0,2023,1,5,1
2023-01-08,9.4,16.3,3.4,0.0,0,0,6076.0,0,0,0,0,2023,1,6,1
2023-01-09,9.3,17.1,3.2,0.0,0,0,5109.0,0,0,0,0,2023,1,0,0
2023-01-10,9.4,16.8,3.8,0.0,0,0,5031.0,0,0,0,0,2023,1,1,0
2023-01-11,9.2,14.8,4.4,0.0,0,0,4925.0,0,0,0,0,2023,1,2,0
2023-01-12,9.3,16.0,2.8,0.0,0,0,5100.0,0,0,0,0,2023,1,3,0
2023-01-13,10.4,16.8,5.2,0.0,0,0,5119.0,0,0,0,0,2023,1,4,0
2023-01-14,9.9,16.2,4.4,0.0,0,0,6164.0,0,0,0,0,2023,1,5,1
2023-01-15,9.5,15.8,3.8,0.0,0,0,5697.0,0,0,0,0,2023,1,6,1
2023-01-16,9.1,16.2,3.8,0.0,0,0,4882.0,0,0,0,0,2023,1,0,0
2023-01-17,8.9,15.2,3.1,0.0,0,0,4816.0,0,0,0,0,2023,1,1,0
2023-01-18,8.9,15.3,3.3,0.0,0,0,5539.0,0,0,0,0,2023,1,2,0
2023-01-19,9.2,15.7,2.9,0.0,0,0,4831.0,0,0,0,0,2023,1,3,0
2023-01-20,9.3,15.9,3.6,0.0,0,0,5220.0,0,0,0,0,2023,1,4,0
2023-01-21,10.3,17.4,3.2,0.0,0,0,5724.0,0,0,0,0,2023,1,5,1
2023-01-22,10.7,18.0,3.6,0.0,0,0,7658.125,1,0,0,0,2023,1,6,1
2023-01-23,10.5,18.5,2.5,0.0,0,0,7658.125,1,0,0,0,2023,1,0,0
2023-01-24,9.9,17.8,3.7,0.0,0,0,7658.125,1,0,0,0,2023,1,1,0
2023-01-25,11.3,19.6,3.5,0.0,0,0,7658.125,1,0,0,0,2023,1,2,0
2023-01-26,13.1,21.1,4.8,0.0,0,0,7658.125,1,0,0,0,2023,1,3,0
2023-01-27,13.0,20.5,5.8,0.0,0,0,7658.125,1,0,0,0,2023,1,4,0
2023-01-28,11.1,19.9,4.0,0.0,0,0,6249.0,0,0,0,0,2023,1,5,1
2023-01-29,8.5,13.8,4.4,0.0,0,0,6113.0,0,0,0,0,2023,1,6,1
2023-01-30,11.8,21.0,4.0,0.0,0,0,5028.0,0,0,0,0,2023,1,0,0
2023-01-31,14.1,23.2,5.2,0.0,0,0,5139.0,0,0,0,0,2023,1,1,0
2023-02-01,14.9,23.0,7.1,0.0,0,0,5231.0,0,0,0,0,2023,2,2,0
2023-02-02,13.7,18.7,8.8,0.0,0,0,5195.0,0,0,0,0,2023,2,3,0
2023-02-03,12.4,19.9,5.4,0.0,0,0,5130.0,0,0,0,0,2023,2,4,0
2023-02-04,12.4,19.5,4.4,0.0,0,0,6305.0,0,0,0,0,2023,2,5,1
2023-02-05,11.9,18.4,5.7,0.0,0,0,6103.0,0,0,0,0,2023,2,6,1
2023-02-06,11.8,18.8,4.6,0.0,0,0,5183.0,0,0,0,0,2023,2,0,0
2023-02-07,11.9,18.6,5.5,0.0,0,0,5139.0,0,0,0,0,2023,2,1,0
2023-02-08,11.3,16.8,6.0,0.0,0,0,4828.0,0,0,0,0,2023,2,2,0
2023-02-09,10.9,17.6,4.1,0.0,0,0,4853.0,0,0,0,0,2023,2,3,0
2023-02-10,11.5,18.8,4.5,0.0,0,0,5174.0,0,0,0,0,2023,2,4,0
2023-02-11,12.0,19.1,5.2,0.0,0,0,6229.0,0,0,0,0,2023,2,5,1
2023-02-12,12.3,19.4,5.8,0.0,0,0,6361.0,0,0,0,0,2023,2,6,1
2023-02-13,12.5,19.7,5.3,0.0,0,0,4656.0,0,0,0,0,2023,2,0,0
