dt,year,month,day_of_week,is_weekend,is_holiday,temp_mean,temp_max,temp_min,precipitation,wiki_pageviews,trends_interest,visitor_count
2023-01-01,2023,1,6,1,1,9.1,13.4,5.8,0.0,0,0,8926
2023-01-02,2023,1,0,0,1,8.6,14.2,3.1,0.0,0,0,8304
2023-01-03,2023,1,1,0,0,9.9,14.5,5.5,0.0,0,0,4886
2023-01-04,2023,1,2,0,0,10.1,16.5,4.4,0.0,0,0,4776
2023-01-05,2023,1,3,0,0,10.4,17.6,4.5,0.0,0,0,4526
2023-01-06,2023,1,4,0,0,9.2,13.3,5.6,0.3,0,0,5112
2023-01-07,2023,1,5,1,0,9.6,17.1,4.3,0.0,0,0,5879
2023-01-08,2023,1,6,1,0,9.4,16.3,3.4,0.0,0,0,6076
2023-01-09,2023,1,0,0,0,9.3,17.1,3.2,0.0,0,0,5109
2023-01-10,2023,1,1,0,0,9.4,16.8,3.8,0.0,0,0,5031
2023-01-11,2023,1,2,0,0,9.2,14.8,4.4,0.0,0,0,4925
2023-01-12,2023,1,3,0,0,9.3,16.0,2.8,0.0,0,0,5100
2023-01-13,2023,1,4,0,0,10.4,16.8,5.2,0.0,0,0,5119
2023-01-14,2023,1,5,1,0,9.9,16.2,4.4,0.0,0,0,6164
2023-01-15,2023,1,6,1,0,9.5,15.8,3.8,0.0,0,0,5697
2023-01-16,2023,1,0,0,0,9.1,16.2,3.8,0.0,0,0,4882
2023-01-17,2023,1,1,0,0,8.9,15.2,3.1,0.0,0,0,4816
2023-01-18,2023,1,2,0,0,8.9,15.3,3.3,0.0,0,0,5539
2023-01-19,2023,1,3,0,0,9.2,15.7,2.9,0.0,0,0,4831
2023-01-20,2023,1,4,0,0,9.3,15.9,3.6,0.0,0,0,5220
2023-01-21,2023,1,5,1,0,10.3,17.4,3.2,0.0,0,0,5724
2023-01-22,2023,1,6,1,1,10.7,18.0,3.6,0.0,0,0,9357
2023-01-23,2023,1,0,0,1,10.5,18.5,2.5,0.0,0,0,8092
2023-01-24,2023,1,1,0,1,9.9,17.8,3.7,0.0,0,0,8392
2023-01-25,2023,1,2,0,1,11.3,19.6,3.5,0.0,0,0,8775
2023-01-26,2023,1,3,0,1,13.1,21.1,4.8,0.0,0,0,8310
2023-01-27,2023,1,4,0,1,13.0,20.5,5.8,0.0,0,0,8642
2023-01-28,2023,1,5,1,0,11.1,19.9,4.0,0.0,0,0,6249
2023-01-29,2023,1,6,1,0,8.5,13.8,4.4,0.0,0,0,6113
2023-01-30,2023,1,0,0,0,11.8,21.0,4.0,0.0,0,0,5028
2023-01-31,2023,1,1,0,0,14.1,23.2,5.2,0.0,0,0,5139
2023-02-01,2023,2,2,0,0,14.9,23.0,7.1,0.0,0,0,5231
2023-02-02,2023,2,3,0,0,13.7,18.7,8.8,0.0,0,0,5195
2023-02-03,2023,2,4,0,0,12.4,19.9,5.4,0.0,0,0,5130
2023-02-04,2023,2,5,1,0,12.4,19.5,4.4,0.0,0,0,6305
2023-02-05,2023,2,6,1,0,11.9,18.4,5.7,0.0,0,0,6103
2023-02-06,2023,2,0,0,0,11.8,18.8,4.6,0.0,0,0,5183
2023-02-07,2023,2,1,0,0,11.9,18.6,5.5,0.0,0,0,5139
2023-02-08,2023,2,2,0,0,11.3,16.8,6.0,0.0,0,0,4828
2023-02-09,2023,2,3,0,0,10.9,17.6,4.1,0.0,0,0,4853
2023-02-10,2023,2,4,0,0,11.5,18.8,4.5,0.0,0,0,5174
2023-02-11,2023,2,5,1,0,12.0,19.1,5.2,0.0,0,0,6229
