dt,visitor_count
2023-01-01,8926
2023-01-02,8304
2023-01-03,4886
2023-01-04,4776
2023-01-05,4526
2023-01-06,5112
2023-01-07,5879
2023-01-08,6076
2023-01-09,5109
2023-01-10,5031
2023-01-11,4925
2023-01-12,5100
2023-01-13,5119
2023-01-14,6164
2023-01-15,5697
2023-01-16,4882
2023-01-17,4816
2023-01-18,5539
2023-01-19,4831
2023-01-20,5220
2023-01-21,5724
2023-01-22,9357
2023-01-23,8092
2023-01-24,8392
2023-01-25,8775
2023-01-26,8310
2023-01-27,8642
2023-01-28,6249
2023-01-29,6113
2023-01-30,5028
2023-01-31,5139
2023-02-01,5231
2023-02-02,5195
2023-02-03,5130
2023-02-04,6305
2023-02-05,6103
2023-02-06,5183
2023-02-07,5139
2023-02-08,4828
2023-02-09,4853
2023-02-10,5174
2023-02-11,6229
2023-02-12,6361
2023-02-13,4656
2023-02-14,5243
2023-02-15,4663
2023-02-16,5121
2023-02-17,4640
2023-02-18,6465
2023-02-19,6032
2023-02-20,5563
2023-02-21,5187
2023-02-22,5322
2023-02-23,5221
2023-02-24,5479
2023-02-25,6155
2023-02-26,5881
2023-02-27,4786
2023-02-28,4894
2023-03-01,5143
2023-03-02,5215
2023-03-03,5102
2023-03-04,6260
2023-03-05,6548
2023-03-06,4846
2023-03-07,5106
2023-03-08,5443
2023-03-09,5058
2023-03-10,5466
2023-03-11,6236
2023-03-12,6191
2023-03-13,5104
2023-03-14,5217
2023-03-15,5127
2023-03-16,5474
2023-03-17,5132
2023-03-18,6512
2023-03-19,6512
2023-03-20,5156
2023-03-21,5454
2023-03-22,5513
2023-03-23,5273
2023-03-24,5352
2023-03-25,5916
2023-03-26,6393
2023-03-27,5437
2023-03-28,5534
2023-03-29,5074
2023-03-30,5252
2023-03-31,5459
2023-04-01,6128
2023-04-02,6304
2023-04-03,4578
2023-04-04,5313
2023-04-05,8250
2023-04-06,4909
2023-04-07,5213
2023-04-08,6272
2023-04-09,6413
2023-04-10,4862
2023-04-11,5165
2023-04-12,5746
2023-04-13,5380
2023-04-14,5223
2023-04-15,6615
2023-04-16,6455
2023-04-17,5592
2023-04-18,5391
2023-04-19,5829
2023-04-20,5491
2023-04-21,5475
2023-04-22,6058
2023-04-23,6203
2023-04-24,5561
2023-04-25,5207
2023-04-26,5575
2023-04-27,5049
2023-04-28,5335
2023-04-29,6576
2023-04-30,6423
2023-05-01,8615
2023-05-02,8891
2023-05-03,9093
2023-05-04,5534
2023-05-05,5748
2023-05-06,6688
2023-05-07,6394
2023-05-08,5479
2023-05-09,5727
2023-05-10,5202
2023-05-11,5169
2023-05-12,5346
2023-05-13,5770
2023-05-14,5893
2023-05-15,4901
2023-05-16,5315
2023-05-17,5025
2023-05-18,4955
2023-05-19,5461
2023-05-20,6623
2023-05-21,6741
2023-05-22,5388
2023-05-23,5078
2023-05-24,5460
2023-05-25,5260
2023-05-26,5094
2023-05-27,6713
2023-05-28,6084
2023-05-29,5502
2023-05-30,5064
2023-05-31,5325
2023-06-01,5393
2023-06-02,5475
2023-06-03,6305
2023-06-04,6541
2023-06-05,4955
2023-06-06,4885
2023-06-07,5154
2023-06-08,5164
2023-06-09,5076
2023-06-10,6231
2023-06-11,6443
2023-06-12,5092
2023-06-13,5363
2023-06-14,4734
2023-06-15,5089
2023-06-16,5488
2023-06-17,6330
2023-06-18,6186
2023-06-19,5365
2023-06-20,5545
2023-06-21,5375
2023-06-22,8533
2023-06-23,8630
2023-06-24,6561
2023-06-25,6279
2023-06-26,5495
2023-06-27,5233
2023-06-28,5303
2023-06-29,5495
2023-06-30,5290
2023-07-01,6459
2023-07-02,6369
2023-07-03,5337
2023-07-04,5191
2023-07-05,5743
2023-07-06,5121
2023-07-07,5214
2023-07-08,6524
2023-07-09,6798
2023-07-10,5558
2023-07-11,5801
2023-07-12,5106
2023-07-13,5214
2023-07-14,5625
2023-07-15,6750
2023-07-16,6480
2023-07-17,5442
2023-07-18,5437
2023-07-19,5589
2023-07-20,5414
2023-07-21,5332
2023-07-22,6503
2023-07-23,7141
2023-07-24,5235
2023-07-25,5344
2023-07-26,5320
2023-07-27,5376
2023-07-28,5037
