dt,temp_mean,temp_max,temp_min,precipitation
2023-01-01,9.1,13.4,5.8,0.0
2023-01-02,8.6,14.2,3.1,0.0
2023-01-03,9.9,14.5,5.5,0.0
2023-01-04,10.1,16.5,4.4,0.0
2023-01-05,10.4,17.6,4.5,0.0
2023-01-06,9.2,13.3,5.6,0.3
2023-01-07,9.6,17.1,4.3,0.0
2023-01-08,9.4,16.3,3.4,0.0
2023-01-09,9.3,17.1,3.2,0.0
2023-01-10,9.4,16.8,3.8,0.0
2023-01-11,9.2,14.8,4.4,0.0
2023-01-12,9.3,16.0,2.8,0.0
2023-01-13,10.4,16.8,5.2,0.0
2023-01-14,9.9,16.2,4.4,0.0
2023-01-15,9.5,15.8,3.8,0.0
2023-01-16,9.1,16.2,3.8,0.0
2023-01-17,8.9,15.2,3.1,0.0
2023-01-18,8.9,15.3,3.3,0.0
2023-01-19,9.2,15.7,2.9,0.0
2023-01-20,9.3,15.9,3.6,0.0
2023-01-21,10.3,17.4,3.2,0.0
2023-01-22,10.7,18.0,3.6,0.0
2023-01-23,10.5,18.5,2.5,0.0
2023-01-24,9.9,17.8,3.7,0.0
2023-01-25,11.3,19.6,3.5,0.0
2023-01-26,13.1,21.1,4.8,0.0
2023-01-27,13.0,20.5,5.8,0.0
2023-01-28,11.1,19.9,4.0,0.0
2023-01-29,8.5,13.8,4.4,0.0
2023-01-30,11.8,21.0,4.0,0.0
2023-01-31,14.1,23.2,5.2,0.0
2023-02-01,14.9,23.0,7.1,0.0
2023-02-02,13.7,18.7,8.8,0.0
2023-02-03,12.4,19.9,5.4,0.0
2023-02-04,12.4,19.5,4.4,0.0
2023-02-05,11.9,18.4,5.7,0.0
2023-02-06,11.8,18.8,4.6,0.0
2023-02-07,11.9,18.6,5.5,0.0
2023-02-08,11.3,16.8,6.0,0.0
2023-02-09,10.9,17.6,4.1,0.0
2023-02-10,11.5,18.8,4.5,0.0
2023-02-11,12.0,19.1,5.2,0.0
2023-02-12,12.3,19.4,5.8,0.0
2023-02-13,12.5,19.7,5.3,0.0
2023-02-14,12.9,21.0,4.8,0.0
2023-02-15,13.5,20.9,6.3,0.0
2023-02-16,13.2,20.8,5.9,0.0
2023-02-17,13.3,20.4,6.0,0.0
2023-02-18,13.5,21.0,5.5,0.0
2023-02-19,13.7,21.3,6.1,0.0
2023-02-20,13.1,18.6,7.0,0.0
2023-02-21,13.5,19.2,6.7,0.0
2023-02-22,13.7,19.3,7.1,0.0
2023-02-23,12.8,18.1,6.2,0.5
2023-02-24,12.9,20.9,6.1,0.0
2023-02-25,12.7,20.2,5.7,0.0
2023-02-26,11.6,18.2,8.0,0.3
2023-02-27,10.7,14.7,6.8,0.2
2023-02-28,11.9,18.9,6.8,0.0
2023-03-01,13.2,20.6,5.8,0.0
2023-03-02,13.5,20.8,6.1,0.0
2023-03-03,13.7,22.1,5.8,0.0
2023-03-04,14.3,21.5,7.0,0.0
2023-03-05,14.5,21.2,6.5,0.0
2023-03-06,14.8,21.5,7.3,0.0
2023-03-07,15.2,22.7,7.2,0.0
2023-03-08,15.7,24.0,8.2,0.0
2023-03-09,16.5,24.1,8.1,0.0
2023-03-10,16.2,24.1,7.6,0.0
2023-03-11,16.5,24.4,8.6,0.0
